"iso","alert__year","alert__week","burned_area__ha"
"AZE",2013,11,1463.598625340946282
"AZE",2013,12,1534.675140178013888
"AZE",2013,13,398.842426712857356
"AZE",2014,10,524.6422285479036
"AZE",2014,11,527.0727325797812
"AZE",2014,12,210.504939645863435
"AZE",2014,13,126.37303956859904
"AZE",2017,13,10.442740793237107
"AZE",2019,10,52.832798635704734
"AZE",2019,11,327.6131267016055
"AZE",2019,12,221.88415937184524
"AZE",2019,13,348.74121095010923
"AZE",2021,10,64.037277260383
"AZE",2021,11,74.71114711766478
"BDI",2012,11,27.305696431977836
"BDI",2012,12,13.652848215988918
"BDI",2015,11,13.64690958903695
"BDI",2015,12,68.23428243197888
"BEN",2012,10,18166.644233439620
"BEN",2012,11,9934.9222267780763
"BEN",2012,12,2745.77832973544539
"BEN",2012,13,495.60243477485596
"BEN",2013,10,6160.204517379875159
"BEN",2013,11,1728.334066660967738
"BEN",2013,12,4183.041522982982553
"BEN",2013,13,2028.55709628921257
"BEN",2014,10,3876.8292702852240
"BEN",2014,11,1557.23051280270471
"BEN",2014,12,1982.87836250535035
"BEN",2014,13,3070.7827922379017
"BEN",2015,11,2046.1554703015059
"BEN",2015,12,804.265549058916857
"BEN",2015,13,13.41495253191029
"BEN",2015,14,120.674667867487778
"BEN",2016,10,1244.906748856622305
"BEN",2016,11,1058.46350558564121
"BEN",2016,12,2476.398867444239744
"BEN",2016,13,963.6885086287434
"BEN",2017,10,31037.65090223012134
"BEN",2017,11,5222.360775876745998
"BEN",2017,12,1433.77579095975257
"BEN",2017,13,1072.72695590478135
"BEN",2018,10,6299.473964178575601
"BEN",2018,11,1997.72809014723935
"BEN",2018,12,2587.446009216522822
"BEN",2018,13,2784.608388559107453
"BEN",2019,10,20723.24476736713549
"BEN",2019,11,11286.0472694090021
"BEN",2019,12,1335.85656796709406
"BEN",2019,13,1413.260114516527061
"BEN",2020,11,12511.59743211393543
"BEN",2020,12,6583.86776496083272
"BEN",2020,13,18570.72590742801824
"BEN",2020,14,5460.10839926315366
"BEN",2021,10,7369.0344711069645
"BEN",2021,11,4738.88093753897687
"BEN",2021,12,13397.17171317500075
"BEN",2021,13,1690.150469110195244
"BFA",2012,10,8870.539273797758814
"BFA",2012,11,4821.65924546595970
"BFA",2012,12,2326.221629665895014
"BFA",2012,13,1002.794826014773594
"BFA",2013,10,4992.080975712884646
"BFA",2013,11,1728.38484484833685
"BFA",2013,12,4810.68043227033023
"BFA",2013,13,1673.00755982256444
"BFA",2014,10,5392.49378754097032
"BFA",2014,11,1803.626814976640858
"BFA",2014,12,3674.948441678165342
"BFA",2014,13,3856.678431470746965
"BFA",2015,11,1805.281201781850692
"BFA",2015,12,5192.352489962703346
"BFA",2015,13,507.824109006263888
"BFA",2015,14,535.06369303623334
"BFA",2016,10,4421.30729255328763
"BFA",2016,11,3130.2996418821488
"BFA",2016,12,6610.30312672089144
"BFA",2016,13,2006.10859549961379
"BFA",2017,10,9427.06190204261314
"BFA",2017,11,2231.76666689355845
"BFA",2017,12,2113.04369179225384
"BFA",2017,13,4834.02782375333497
"BFA",2018,10,3313.342294689552331
"BFA",2018,11,3155.72146368651944
"BFA",2018,12,2872.51957214490027
"BFA",2018,13,3096.596080140542842
"BFA",2019,10,7218.68535362176995
"BFA",2019,11,1564.48169005731707
"BFA",2019,12,734.66719154248656
"BFA",2019,13,2149.41280879915647
"BFA",2020,11,6306.831487242017695
"BFA",2020,12,1191.172219744785770
"BFA",2020,13,1418.21351842523310
"BFA",2020,14,723.015102433127454
"BFA",2021,10,10411.34755686731376
"BFA",2021,11,4431.467194155509844
"BFA",2021,12,6884.87028113400273
"BFA",2021,13,4197.90002111105941
"BGD",2012,10,940.9181988912175
"BGD",2012,11,6927.08219385967751
"BGD",2012,12,22024.76818279177211
"BGD",2012,13,15929.40635962662619
"BGD",2013,10,1120.45883903933724
"BGD",2013,11,2939.407452914281729
"BGD",2013,12,27152.12754797475883
"BGD",2013,13,21492.394230428684429
"BGD",2014,10,226.86460578804972
"BGD",2014,11,1404.3153343640823
"BGD",2014,12,5864.93618401338970
"BGD",2014,13,39911.1809186437898
"BGD",2015,11,6576.61849154753456
"BGD",2015,12,17917.13761227209255
"BGD",2015,13,5564.92719793162816
"BGD",2015,14,480.20611597829885
"BGD",2016,10,571.3392205091379
"BGD",2016,11,4111.259558307028
"BGD",2016,12,2689.36121669527885
"BGD",2016,13,3160.70552497006833
"BGD",2017,12,727.9665642048082
"BGD",2017,13,2147.934842515166112
"BGD",2018,10,541.5566615064139
"BGD",2018,11,5235.6279414915174
"BGD",2018,12,25667.95498973709318
"BGD",2018,13,5106.86847783307110
"BGD",2019,10,101.47567562817633
"BGD",2019,11,341.34647494030105
"BGD",2019,12,1901.870289927579327
"BGD",2019,13,1626.07060739962445
"BGD",2020,11,138.172188426337891
"BGD",2020,12,2073.28773037296137
"BGD",2020,13,28777.12899540999337
"BGD",2020,14,78125.7828522929582
"BGD",2021,10,50.6805688377808
"BGD",2021,11,7556.54332318351536
"BGD",2021,12,59333.85615037771823
"BGD",2021,13,2897.8609749957545
"BGR",2012,10,399.1530235320895
"BGR",2012,11,2672.031537939146674
"BGR",2012,12,448.64506149864712
"BGR",2014,11,605.28998455003017
"BGR",2014,12,49.46283851934457
"BGR",2015,13,79.30528346207542
"BGR",2015,14,956.798448298760127
"BGR",2019,10,159.60438687949392
"BGR",2019,11,162.604886144323984
"BGR",2019,12,518.928093348060717
"BGR",2019,13,100.38162181624924
"BHS",2012,10,1238.596008678017103
"BHS",2012,11,159.5689054004583
"BHS",2012,12,162.29344121838732
"BHS",2012,13,661.05306346944543
"BHS",2013,10,5314.17191026649552
"BHS",2013,11,13238.28916122681238
"BHS",2013,12,10158.10131636215291
"BHS",2013,13,13602.17912850723337
"BHS",2014,10,708.4714983232487
"BHS",2014,11,3089.73099519140203
"BHS",2014,12,2253.841575304681635
"BHS",2014,13,1385.833466622956871
"BHS",2015,11,233.21374322978969
"BHS",2015,12,1706.2003516398208
"BHS",2015,13,74.190556186752595
"BHS",2015,14,1762.837398503592954
"BHS",2016,10,2002.964429347604156
"BHS",2016,11,1910.2205710144324
"BHS",2016,12,347.79800710159674
"BHS",2016,13,608.07967115450547
"BHS",2017,10,868.85895399909756
"BHS",2017,11,3820.729588478412968
"BHS",2017,12,4383.20078259512588
"BHS",2017,13,3908.87814438445529
"BHS",2018,10,993.71402504390305
"BHS",2018,11,159.27357711156927
"BHS",2018,12,1922.508142648411041
"BHS",2018,13,74.51275621097741
"BHS",2019,13,583.607892859879994
"BHS",2020,11,4937.123272328536265
"BHS",2020,12,3589.65639050678441
"BHS",2020,13,3917.104052909412
"BHS",2020,14,2168.9546783524370
"BHS",2021,10,124.20643631801417
"BHS",2021,11,757.764677897356
"BHS",2021,12,1451.16547810527898
"BHS",2021,13,955.668021469687265
"BIH",2012,10,867.8520047239761
"BIH",2012,11,794.8865235728596
"BIH",2012,12,709.9812480821618
"BIH",2012,13,444.2182658063374
"BIH",2014,10,437.9673453034119
"BIH",2014,11,1792.107697188469794
"BIH",2014,12,492.93242784521783
"BIH",2015,11,487.73957520074686
"BIH",2015,12,20.020672637853185
"BIH",2016,11,19.797851934958928
"BIH",2016,12,19.797851934958928
"BIH",2016,13,138.56852196634913
"BIH",2017,10,170.35941926998413
"BIH",2017,11,3471.55397696214854
"BIH",2017,12,1121.076686922792564
"BIH",2017,13,1033.48619549256000
"BIH",2019,10,273.9598099745019
"BIH",2019,11,2228.1268749925166
"BIH",2019,12,2573.6311272866515
"BIH",2019,13,2171.9871825013183
"BIH",2020,11,2290.39757517708571
"BIH",2020,12,2505.76572387572894
"BIH",2020,13,1039.82762374449188
"BIH",2020,14,3563.288125569732313
"BLR",2012,10,17381.87561000724182
"BLR",2012,11,9204.840701652355476
"BLR",2012,12,83.8703525657628
"BLR",2014,10,276.83746504453474
"BLR",2014,11,3239.195563158743463
"BLR",2014,12,2032.0767951196354
"BLR",2014,13,1556.084769613925597
"BLR",2015,11,12023.456944223046671
"BLR",2015,12,274.483841615536292
"BLR",2015,14,622.058195200639622
"BLR",2016,11,230.094106880685121
"BLR",2016,12,4023.585579323951354
"BLR",2016,13,306.1619363773557
"BLR",2017,12,687.358795103644343
"BLR",2017,13,920.26126369399666
"BLR",2018,10,73.42336688507167
"BLR",2018,11,601.7632970244929
"BLR",2018,12,1477.7809662547204
"BLR",2018,13,5177.2086043857325
"BLR",2019,10,1431.206112817079045
"BLR",2019,11,2780.762346284707811
"BLR",2019,12,4103.290092189848010
"BLR",2019,13,4616.292648686608372
"BLR",2020,11,1740.87810147744403
"BLR",2020,12,4317.03246277082179
"BLR",2020,13,4162.605444544360061
"BLR",2020,14,9573.5260372941983
"BLR",2021,10,466.05710718293746
"BLR",2021,11,567.5732487637588
"BLR",2021,12,274.77179339556
"BLZ",2013,10,3417.28328808805068
"BLZ",2013,11,825.204757717050076
"BLZ",2013,12,3431.368292542952000
"BLZ",2013,13,3828.164439054948572
"BLZ",2014,10,130.60183480101568
"BLZ",2014,11,143.689474285395765
"BLZ",2014,12,1058.788695650947346
"BLZ",2014,13,2733.169547985644566
"BLZ",2015,11,65.28954136876058
"BLZ",2015,12,234.957990367638040
"BLZ",2015,13,156.772262121146876
"BLZ",2015,14,2065.823901852183823
"BLZ",2016,10,13.054278019475607
"BLZ",2016,11,117.99219947130734
"BLZ",2016,12,445.838754877168255
"BLZ",2016,13,693.140429304231333
"BLZ",2017,10,1120.049003825955264
"BLZ",2017,11,1005.58199852428618
"BLZ",2017,12,1081.026447241332534
"BLZ",2017,13,860.685624574540488
"BLZ",2018,10,1940.671577546220976
"BLZ",2018,11,432.320103691191672
"BLZ",2018,12,811.960595581771412
"BLZ",2018,13,1258.55055794847400
"BLZ",2019,10,2145.89127462632341
"BLZ",2019,11,2074.82038954020666
"BLZ",2019,12,2323.50225125716100
"BLZ",2019,13,3159.30926847765982
"BLZ",2020,11,1357.165460099441785
"BLZ",2020,12,1096.044458561126509
"BLZ",2020,13,1396.008120994549561
"BLZ",2020,14,3769.13084612979138
"BLZ",2021,10,287.15670515074302
"BLZ",2021,11,443.134269870512386
"BLZ",2021,12,641.790955183644214
"BLZ",2021,13,773.959116209340294
"BOL",2012,10,2620.94761180410284
"BOL",2012,11,8686.78269608766369
"BOL",2012,12,3284.154611990441687
"BOL",2012,13,2139.62957623578121
"BOL",2013,10,2194.095727908751091
"BOL",2013,11,7578.98911555383872
"BOL",2013,12,6018.32217126261213
"BOL",2013,13,5231.514605110744522
"BOL",2014,10,2216.24756717230694
"BOL",2014,11,3439.91711000391693
"BOL",2014,12,6475.20813904483796
"BOL",2014,13,3247.71485746576738
"BOL",2015,11,377.95990977703787
"BOL",2015,12,1668.492458005207738
"BOL",2015,13,1467.02763536644556
"BOL",2015,14,2664.20685096204467
"BOL",2016,10,3104.46955537269821
"BOL",2016,11,6323.9444308402215
"BOL",2016,12,9305.35074004685178
"BOL",2016,13,8362.97111124680934
"BOL",2017,10,5400.807576800038796
"BOL",2017,11,2249.466680963163089
"BOL",2017,12,689.918025799281456
"BOL",2017,13,1286.53732942399663
"BOL",2018,10,8430.916963283506829
"BOL",2018,11,7108.30624495228613
"BOL",2018,12,2988.468960552145557
"BOL",2018,13,1530.34219990748628
"BOL",2019,10,2539.10946283644804
"BOL",2019,11,2864.06800436071425
"BOL",2019,12,618.336385910352743
"BOL",2019,13,1113.587732099662299
"BOL",2020,11,6480.15194585333976
"BOL",2020,12,2734.02936351717082
"BOL",2020,13,1141.568698501004077
"BOL",2020,14,3014.71612695166650
"BOL",2021,10,3288.117126089828
"BOL",2021,11,6446.995583913570334
"BOL",2021,12,7337.6247807337932
"BOL",2021,13,535.5276722556049
"BRA",2012,10,44389.787410256752248
"BRA",2012,11,60201.388955387491417
"BRA",2012,12,55952.259144827330699
"BRA",2012,13,27057.320532213183347
"BRA",2013,10,59596.419665190645581
"BRA",2013,11,59261.893220770922125
"BRA",2013,12,49840.323769247246753
"BRA",2013,13,47316.281750196696114
"BRA",2014,10,65282.910358016277130
"BRA",2014,11,61661.958517794245561
"BRA",2014,12,43837.317871788389852
"BRA",2014,13,32245.900109812198044
"BRA",2015,11,45974.762385210509009
"BRA",2015,12,47274.657073055283773
"BRA",2015,13,51698.522157663574378
"BRA",2015,14,31449.196610948308135
"BRA",2016,10,126063.529210463410995
"BRA",2016,11,109960.333981417393408
"BRA",2016,12,77912.951019391545965
"BRA",2016,13,43190.529303613735473
"BRA",2017,10,68674.688224922910127
"BRA",2017,11,62676.710172709947798
"BRA",2017,12,61038.745563547460411
"BRA",2017,13,61130.642975924095973
"BRA",2018,10,89421.938749040537362
"BRA",2018,11,102751.864539736407634
"BRA",2018,12,80486.456187411381003
"BRA",2018,13,40071.818178118467476
"BRA",2019,10,150274.295737596577615
"BRA",2019,11,181605.450636560522708
"BRA",2019,12,179741.017017624050723
"BRA",2019,13,114558.771130796971678
"BRA",2020,11,191821.464565812788909
"BRA",2020,12,136229.682745273409333
"BRA",2020,13,108769.863225362566234
"BRA",2020,14,54775.299081880274269
"BRA",2021,10,76603.825403644211076
"BRA",2021,11,98382.705572626604569
"BRA",2021,12,84198.734679465439357
"BRA",2021,13,33512.535288982471187
"BRN",2015,12,68.130504507777486
"BRN",2015,13,163.51406371034969
"BRN",2015,14,299.60477950114328
"BRN",2016,11,40.878191411088544
"BRN",2016,12,13.626063803696182
"BTN",2012,10,1623.388750894336717
"BTN",2012,11,1136.63357255443618
"BTN",2012,12,4657.39341813000432
"BTN",2012,13,5938.316487201572
"BTN",2013,10,60.795024645609167
"BTN",2013,11,146.540365208283674
"BTN",2013,12,36.64474187030737
"BTN",2013,13,24.363403547963138
"BTN",2014,10,170.33726821533049
"BTN",2014,11,1961.161735093998135
"BTN",2014,12,1683.298676356466503
"BTN",2014,13,829.04376598860287
"BTN",2015,11,1339.187885155699603
"BTN",2015,12,5653.55534209917558
"BTN",2015,13,3341.206247678711646
"BTN",2015,14,451.29857811948705
"BTN",2016,10,546.99572518770299
"BTN",2016,11,182.62687575850813
"BTN",2017,10,669.870843888335007
"BTN",2017,11,389.7281239381906
"BTN",2018,13,718.6216321483639
"BTN",2019,10,36.37180695247051
"BTN",2020,13,12.234903814783133
"BTN",2020,14,586.40143677615812
"BTN",2021,10,48.757341282369765
"BTN",2021,12,280.5982528307231
"BTN",2021,13,146.42041558177272
"BWA",2012,10,8599.98324633114379
"BWA",2012,11,16546.972299228780
"BWA",2012,12,335.0429735849942
"BWA",2012,13,2775.023458933387436
"BWA",2013,10,3293.43778834512191
"BWA",2013,11,21103.11399620775422
"BWA",2013,12,22059.306159166278355
"BWA",2013,13,21060.483217506264112
"BWA",2014,11,231.40903855574896
"BWA",2014,12,127.20151100982999
"BWA",2014,13,51.43898793323349
"BWA",2015,11,20562.897734115427158
"BWA",2015,12,34291.13495986727797
"BWA",2015,13,11638.96026280371535
"BWA",2015,14,4771.11838949283777
"BWA",2016,10,38.81024514463855
"BWA",2016,12,526.4925825221305
"BWA",2016,13,1210.28824502750545
"BWA",2017,10,929.025334175745406
"BWA",2017,11,142.57901377945712
"BWA",2017,12,25.50160679922942
"BWA",2017,13,114.9972462102944
"BWA",2018,10,38.88926904681828
"BWA",2018,11,464.55354829725684
"BWA",2018,12,12.840033229563824
"BWA",2018,13,51.29126128707773
"BWA",2019,10,23337.944078235200
"BWA",2019,11,16054.675260900475664
"BWA",2019,12,28840.48179101919648
"BWA",2019,13,22204.157020821419046
"BWA",2020,11,642.00461641722257
"BWA",2020,12,38.48373854404799
"BWA",2020,13,371.033807760488709
"BWA",2020,14,51.138352993255875
"BWA",2021,10,448.135976921097148
"BWA",2021,11,652.957173747662156
"BWA",2021,12,1523.670183560405016
"BWA",2021,13,75.291867644062621
"CAF",2012,10,62440.81170639580195
"CAF",2012,11,30165.35107960585025
"CAF",2012,12,23575.13505409938751
"CAF",2012,13,11125.56709642044286
"CAF",2013,10,43437.075043010502454
"CAF",2013,11,15221.40906255351303
"CAF",2013,12,6549.13724382611206
"CAF",2013,13,3402.0155998023506
"CAF",2014,10,26636.46635395173813
"CAF",2014,11,11835.43739671106068
"CAF",2014,12,7035.08294203543133
"CAF",2014,13,5294.55224509443222
"CAF",2015,11,11475.44798483329051
"CAF",2015,12,11914.992572561258041
"CAF",2015,13,5756.428735785325693
"CAF",2015,14,5617.446580850095164
"CAF",2016,10,6289.26757916236178
"CAF",2016,11,4428.669814340886239
"CAF",2016,12,2972.953001186585533
"CAF",2016,13,2345.718064317836231
"CAF",2017,10,41887.09352480139962
"CAF",2017,11,15055.82369278946019
"CAF",2017,12,5506.684632310231687
"CAF",2017,13,3907.857647451979172
"CAF",2018,10,18277.159574870495801
"CAF",2018,11,11790.561228937471105
"CAF",2018,12,19603.23379989276649
"CAF",2018,13,2909.552382729244347
"CAF",2019,10,17093.01572941831535
"CAF",2019,11,27593.91724852832481
"CAF",2019,12,15399.92098422864448
"CAF",2019,13,7381.4293585517313
"CAF",2020,11,54371.217226195661506
"CAF",2020,12,11378.27595776401318
"CAF",2020,13,1914.068439163189905
"CAF",2020,14,8436.40622759859805
"CAF",2021,10,40993.374750049346175
"CAF",2021,11,9852.551601429807046
"CAF",2021,12,3226.566989963800783
"CAF",2021,13,4861.50285932435775
"CAN",2012,10,4548.13636932133515
"CAN",2012,11,45111.46832256010787
"CAN",2012,12,1144.21506972552002
"CAN",2012,13,3692.601719842914406
"CAN",2013,11,42.5377007588026
"CAN",2013,12,847.21779460115892
"CAN",2013,13,1804.83782655635301
"CAN",2015,11,1654.38313512703025
"CAN",2015,12,2474.181380163132512
"CAN",2015,13,4480.239689415613889
"CAN",2015,14,2142.96959071396106
"CAN",2016,10,1565.858356465140011
"CAN",2016,11,2794.66117240079598
"CAN",2016,12,6445.418148182721267
"CAN",2016,13,16037.293177892208005
"CAN",2017,10,35.466662548133606
"CAN",2017,11,650.7503530404807
"CAN",2017,12,35.47393888512172
"CAN",2017,13,1072.953481541117624
"CAN",2019,11,221.15996446041603
"CAN",2019,12,6113.003598841449798
"CAN",2019,13,5822.67291755064718
"CAN",2020,14,142.44104472806555
"CAN",2021,10,854.5913625179617
"CAN",2021,11,2887.27623184957913
"CAN",2021,12,123.91668504788993
"CAN",2021,13,1771.95330135734193
"CHE",2014,13,18.954018891364212
"CHL",2012,10,13812.97943394494328
"CHL",2012,11,24204.847325223062412
"CHL",2012,12,7848.631405186782757
"CHL",2012,13,3528.02321218025108
"CHL",2013,10,3291.394432487107394
"CHL",2013,11,1423.44863118913008
"CHL",2013,12,790.598165386671395
"CHL",2013,13,251.402552383629182
"CHL",2014,10,6947.98249940660759
"CHL",2014,11,20230.717561746543472
"CHL",2014,12,11418.810908391778453
"CHL",2014,13,6130.710149450915980
"CHL",2015,11,7937.321676610101936
"CHL",2015,12,4192.855667944846114
"CHL",2015,13,6560.96724841372783
"CHL",2015,14,4527.320456221969436
"CHL",2016,10,5682.66771125760369
"CHL",2016,11,4937.195292105134805
"CHL",2016,12,4892.746381215864513
"CHL",2016,13,6568.61622466110655
"CHL",2017,10,1978.02197470179766
"CHL",2017,11,7596.860228586331293
"CHL",2017,12,2611.674125849449297
"CHL",2017,13,3840.992915089544213
"CHL",2018,10,4293.79764717157907
"CHL",2018,11,6167.50516382293928
"CHL",2018,12,12278.9541228708844
"CHL",2018,13,907.056957192270937
"CHL",2019,10,4201.97433782808794
"CHL",2019,11,672.283276157840235
"CHL",2019,12,3042.7240272948202
"CHL",2019,13,3602.858175183666785
"CHL",2020,11,639.850045187591625
"CHL",2020,12,8508.442745926691327
"CHL",2020,13,6683.905216550011444
"CHL",2020,14,6315.48818547663214
"CHL",2021,10,6672.51126175785638
"CHL",2021,11,8862.670760231790443
"CHL",2021,12,10828.034171193936291
"CHL",2021,13,2455.36795886220021
"CHN",2012,10,12390.432711973500565
"CHN",2012,11,67784.15030156523685
"CHN",2012,12,109577.62134814973667
"CHN",2012,13,57151.512656990164034
"CHN",2013,10,51835.75712271899143
"CHN",2013,11,15160.867712242139327
"CHN",2013,12,5082.073542260506940
"CHN",2013,13,9495.098832542363746
"CHN",2014,10,73449.07385179400068
"CHN",2014,11,70644.92775744712334
"CHN",2014,12,132305.561126831943736
"CHN",2014,13,102019.32652238850311
"CHN",2015,11,114793.811654496099050
"CHN",2015,12,290368.160600037446073
"CHN",2015,13,59213.97679139045909
"CHN",2015,14,46933.315707694195206
"CHN",2016,10,22882.95368243649822
"CHN",2016,11,138809.741411571056562
"CHN",2016,12,31840.6666973514392
"CHN",2016,13,89198.985133222799004
"CHN",2017,10,139338.991742250604045
"CHN",2017,11,162833.47361743843238
"CHN",2017,12,261444.89870385627051
"CHN",2017,13,1043790.59307833816687
"CHN",2018,10,16966.92080337695215
"CHN",2018,11,159052.36155739973595
"CHN",2018,12,316616.757832066133757
"CHN",2018,13,132770.881889423852175
"CHN",2019,10,30847.635412992875086
"CHN",2019,11,21326.193058572698989
"CHN",2019,12,187966.603963439517824
"CHN",2019,13,86695.400852229039945
"CHN",2020,11,19444.788382736409424
"CHN",2020,12,89960.625975631684605
"CHN",2020,13,143367.14254650585377
"CHN",2020,14,747734.43148013253619
"CHN",2021,10,53248.4935823444476
"CHN",2021,11,24899.200231665894138
"CHN",2021,12,13826.910498293996948
"CHN",2021,13,12317.082448252305476
"CIV",2012,10,12960.746133014277803
